Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
ACC,126.0,66.0,14.4,2.5,5.1,0.485,1.7,3.2,0.526,0.8,2.0,0.419,1.5,2.1,0.75,1.0,2.5,3.5,0.9,0.6,0.5,1.4,1.7,7.3,9.94,5,Reyshawn Terry,44,44,ORL,UNC,,,,,,,,,,,,,,,,,,2007
MAAC,117.0,108.0,34.6,4.7,10.5,0.446,3.3,6.4,0.521,1.3,4.0,0.326,2.5,3.6,0.702,1.2,3.6,4.8,6.9,1.4,0.1,2.8,1.8,13.1,-3.38,5,Jared Jordan,45,45,LAC,Marist College,,,,,,,,,,,,,,,,,,2007
A10,118.0,90.0,24.2,3.2,5.4,0.595,3.2,5.4,0.595,0.0,0.0,,2.2,3.5,0.622,2.8,3.6,6.4,0.9,0.7,3.4,1.8,3.1,8.6,1.93,5,Stéphane Lasme,46,46,GSW,UMass,1.0,16.0,303.0,83.0,53.0,3.0,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-4.4,-0.2,2007
MW,86.0,59.0,25.0,3.3,7.2,0.462,3.0,6.0,0.5,0.3,1.1,0.253,1.8,3.2,0.556,1.7,4.6,6.3,2.0,0.6,1.9,2.4,2.3,8.7,4.16,6,Dominic McGuire,47,47,WAS,Fresno State,6.0,342.0,5348.0,939.0,1169.0,422.0,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-2.1,-0.1,2007
ACC,113.0,68.0,20.9,3.8,7.0,0.55,3.8,7.0,0.55,0.0,0.0,,2.1,3.6,0.595,2.5,4.5,7.0,1.3,0.4,1.2,1.6,2.1,9.8,6.94,5,Aaron Gray,49,49,CHI,Pitt,7.0,318.0,3851.0,1066.0,1190.0,207.0,0.509,0.0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-3.6,-1.5,2007
Big 12,101.0,83.0,32.0,4.7,10.7,0.437,2.7,5.9,0.464,2.0,4.8,0.404,2.2,2.9,0.758,0.5,2.4,2.9,3.5,1.0,0.2,2.8,2.0,13.5,7.56,4,JamesOn Curry,51,51,CHI,Oklahoma State,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,2007
SEC,111.0,79.0,29.2,2.9,7.1,0.401,1.2,2.8,0.419,1.7,4.3,0.389,3.2,3.7,0.857,0.3,1.9,2.2,3.6,1.1,0.1,2.5,1.6,10.6,6.65,4,Taurean Green,52,52,POR,Florida,1.0,17.0,74.0,27.0,10.0,11.0,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-7.5,-0.1,2007
ACC,123.0,93.0,25.8,3.8,9.0,0.423,2.2,4.4,0.493,1.7,4.7,0.358,1.6,2.1,0.752,1.2,3.0,4.1,1.1,1.0,0.8,1.5,2.0,10.9,7.27,5,Demetris Nichols,53,53,POR,Syracuse,2.0,18.0,58.0,22.0,7.0,2.0,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-10.3,-0.1,2007
Big East,99.0,63.0,19.8,4.1,6.7,0.614,4.1,6.7,0.615,0.0,0.0,0.0,1.4,2.5,0.566,2.1,3.1,5.2,0.9,0.8,1.9,1.6,2.2,9.7,7.86,6,Herbert Hill,55,55,UTA,Providence,,,,,,,,,,,,,,,,,,2007
MW,97.0,94.0,29.2,3.2,7.6,0.417,2.9,6.7,0.43,0.3,0.8,0.313,2.2,3.0,0.74,1.0,3.2,4.2,4.9,1.2,0.1,2.6,1.3,8.8,2.12,4,Ramon Sessions,56,56,MIL,Nevada,11.0,691.0,16119.0,7141.0,1840.0,2807.0,0.434,0.316,0.791,23.3,10.3,2.7,4.1,28.8,0.086,-0.7,5.2,2007
