Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,Conf Tier
ACC,142.0,141.0,30.9,6.6,12.3,0.536,6.5,12.1,0.541,0.1,0.3,0.316,6.9,8.7,0.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,8.39,4,Tyler Hansbrough,13,13,IND,UNC,7.0,428.0,7233.0,2881.0,1808.0,181.0,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.0,0.0,2009,ACC
ACC,104.0,63.0,26.7,4.0,8.6,0.467,3.5,6.8,0.512,0.5,1.8,0.298,2.0,3.2,0.64,2.1,4.9,7.0,1.7,0.9,1.2,2.1,1.7,10.6,8.03,3,Earl Clark,14,14,PHO,Louisville,6.0,261.0,3630.0,1138.0,778.0,134.0,0.403,0.328,0.664,13.9,4.4,3.0,0.5,2.9,0.038,-2.8,-0.8,2009,ACC
WCC,67.0,34.0,22.5,4.1,8.6,0.477,3.2,6.4,0.495,0.9,2.2,0.422,2.5,3.1,0.79,0.9,4.9,5.8,1.0,0.7,1.9,1.9,2.6,11.6,2.85,2,Austin Daye,15,15,DET,Gonzaga,6.0,293.0,4132.0,1522.0,764.0,212.0,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.0,0.0,2009,Other
ACC,61.0,59.0,29.9,5.8,11.2,0.515,4.9,8.4,0.587,0.8,2.8,0.296,2.5,3.6,0.693,2.8,5.5,8.3,1.6,1.4,1.4,2.5,3.0,14.8,8.09,2,James Johnson,16,16,CHI,Wake Forest,14.0,759.0,15413.0,5789.0,2692.0,1590.0,0.474,0.302,0.679,20.3,7.6,3.5,2.1,27.5,0.086,0.4,9.4,2009,ACC
Pac 12,35.0,35.0,27.1,3.2,7.1,0.45,2.4,4.6,0.528,0.8,2.5,0.307,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,7.19,1,Jrue Holiday,17,17,PHI,UCLA,14.0,882.0,29229.0,14408.0,3584.0,5680.0,0.46,0.364,0.78,33.1,16.3,4.1,6.4,60.2,0.099,1.5,26.1,2009,Pac 12
ACC,105.0,95.0,27.0,4.4,8.5,0.517,3.3,5.9,0.568,1.1,2.6,0.403,3.2,4.1,0.78,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2.0,13.1,8.59,3,Ty Lawson,18,18,MIN,UNC,8.0,551.0,16088.0,6977.0,1506.0,3316.0,0.46,0.359,0.77,29.2,12.7,2.7,6.0,42.1,0.126,1.4,13.6,2009,ACC
ACC,61.0,52.0,30.9,5.2,11.2,0.462,3.9,8.2,0.477,1.3,3.0,0.421,4.8,5.9,0.812,0.5,2.5,3.0,3.0,1.9,0.6,3.0,2.3,16.4,8.09,2,Jeff Teague,19,19,ATL,Wake Forest,12.0,826.0,22164.0,10061.0,1989.0,4585.0,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,0.6,14.3,2009,ACC
A10,130.0,104.0,30.7,5.0,11.2,0.449,3.9,8.3,0.477,1.1,3.0,0.37,3.9,4.9,0.791,0.5,2.9,3.4,5.2,1.3,0.2,2.4,2.0,15.0,-0.76,4,Eric Maynor,20,20,UTA,VCU,5.0,267.0,3896.0,1141.0,348.0,760.0,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-2.9,-0.8,2009,Other
Pac 12,142.0,104.0,29.2,4.0,8.3,0.475,2.8,5.7,0.494,1.2,2.7,0.435,2.5,2.9,0.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5,8.25,4,Darren Collison,21,21,NOH,UCLA,11.0,711.0,20833.0,8861.0,1889.0,3545.0,0.471,0.394,0.853,29.3,12.5,2.7,5.0,49.9,0.115,0.5,13.4,2009,Pac 12
Big 10,33.0,2.0,20.3,3.6,5.7,0.638,3.6,5.7,0.642,0.0,0.0,0.0,1.6,2.8,0.559,1.7,3.0,4.7,0.3,0.5,1.1,1.5,2.1,8.8,8.23,1,Byron Mullens,24,24,DAL,Ohio State,5.0,189.0,3446.0,1398.0,790.0,153.0,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.0,-1.8,2009,Big 10
Pac 12,105.0,104.0,32.7,4.8,8.2,0.58,4.8,8.2,0.58,0.0,0.0,,2.9,4.6,0.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,3.1,12.4,8.54,3,Taj Gibson,26,26,CHI,USC,14.0,930.0,22313.0,8209.0,5543.0,906.0,0.518,0.253,0.712,24.0,8.8,6.0,1.0,59.5,0.128,-0.8,7.1,2009,Pac 12
SEC,134.0,89.0,24.5,4.5,8.4,0.535,4.3,7.6,0.559,0.2,0.7,0.281,2.1,3.5,0.603,2.4,3.6,6.0,1.6,1.1,0.4,1.3,2.3,11.2,7.12,5,DeMarre Carroll,27,27,MEM,Missouri,11.0,578.0,13675.0,5150.0,2454.0,726.0,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,0.0,6.7,2009,SEC
ACC,115.0,112.0,28.5,5.4,11.6,0.463,3.4,6.6,0.513,2.0,5.0,0.397,2.0,2.5,0.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7,8.59,3,Wayne Ellington,28,28,MIN,UNC,13.0,770.0,16100.0,6190.0,1643.0,852.0,0.41,0.382,0.843,20.9,8.0,2.1,1.1,21.1,0.063,-1.5,2.1,2009,ACC
ACC,130.0,126.0,34.2,5.7,12.9,0.442,3.8,8.0,0.483,1.8,4.9,0.376,3.6,4.4,0.802,0.8,3.0,3.8,2.6,1.8,0.3,2.6,2.3,16.8,7.61,5,Toney Douglas,29,29,LAL,Florida State,8.0,394.0,7511.0,3009.0,875.0,889.0,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2,2009,ACC
Pac 12,126.0,120.0,30.2,4.8,8.4,0.58,4.8,8.3,0.585,0.0,0.1,0.0,2.9,3.8,0.764,2.7,4.8,7.5,0.8,0.5,1.0,1.8,3.1,12.6,7.31,4,Jeff Ayres,31,31,SAC,Arizona State,6.0,237.0,2322.0,690.0,632.0,99.0,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2,2009,Pac 12
AAC,122.0,60.0,25.8,5.8,12.5,0.466,3.8,7.0,0.536,2.1,5.5,0.376,2.5,3.3,0.764,1.5,2.3,3.9,1.4,0.9,0.4,2.2,1.7,16.2,0.56,4,Jermaine Taylor,32,32,WAS,Central Florida,2.0,65.0,786.0,351.0,108.0,48.0,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-3.7,-0.3,2009,Other
